seconds	current_frontend	desired_frontend	current_traefik	desired_traefik
1656431230	2.0	2.0	8.0	8.0
1656431231	2.0	2.0	8.0	8.0
1656431232	2.0	2.0	8.0	8.0
1656431233	2.0	2.0	8.0	8.0
1656431234	2.0	2.0	8.0	8.0
1656431235	2.0	2.0	8.0	8.0
1656431236	2.0	2.0	8.0	8.0
1656431237	2.0	2.0	8.0	8.0
1656431238	2.0	2.0	8.0	8.0
1656431239	2.0	2.0	8.0	8.0
1656431240	2.0	2.0	8.0	8.0
1656431241	2.0	2.0	8.0	8.0
1656431242	2.0	2.0	8.0	8.0
1656431243	2.0	2.0	8.0	8.0
1656431244	2.0	2.0	8.0	8.0
1656431245	2.0	2.0	8.0	8.0
1656431246	2.0	2.0	8.0	8.0
1656431247	2.0	2.0	8.0	8.0
1656431248	2.0	2.0	8.0	8.0
1656431249	2.0	2.0	8.0	8.0
1656431250	2.0	2.0	8.0	8.0
1656431251	2.0	2.0	8.0	8.0
1656431252	2.0	2.0	8.0	8.0
1656431253	2.0	2.0	8.0	8.0
1656431254	2.0	2.0	8.0	8.0
1656431255	2.0	2.0	8.0	8.0
1656431256	2.0	2.0	8.0	8.0
1656431257	2.0	2.0	8.0	8.0
1656431258	2.0	2.0	8.0	8.0
1656431259	2.0	2.0	8.0	8.0
1656431260	2.0	2.0	8.0	8.0
1656431261	2.0	2.0	8.0	8.0
1656431262	2.0	2.0	8.0	8.0
1656431263	2.0	2.0	8.0	8.0
1656431264	2.0	2.0	8.0	8.0
1656431265	2.0	2.0	8.0	8.0
1656431266	2.0	2.0	8.0	12.0
1656431267	2.0	2.0	8.0	12.0
1656431268	2.0	2.0	8.0	12.0
1656431269	2.0	2.0	8.0	12.0
1656431270	2.0	2.0	8.0	12.0
1656431271	2.0	2.0	8.0	12.0
1656431272	2.0	2.0	8.0	12.0
1656431273	2.0	2.0	8.0	12.0
1656431274	2.0	2.0	8.0	12.0
1656431275	2.0	2.0	8.0	12.0
1656431276	2.0	2.0	8.0	12.0
1656431277	2.0	2.0	8.0	12.0
1656431278	2.0	2.0	8.0	12.0
1656431279	2.0	2.0	8.0	12.0
1656431280	2.0	2.0	12.0	12.0
1656431281	2.0	2.0	12.0	12.0
1656431282	2.0	2.0	12.0	12.0
1656431283	2.0	2.0	12.0	12.0
1656431284	2.0	2.0	12.0	12.0
1656431285	2.0	2.0	12.0	12.0
1656431286	2.0	2.0	12.0	12.0
1656431287	2.0	2.0	12.0	12.0
1656431288	2.0	2.0	12.0	12.0
1656431289	2.0	2.0	12.0	12.0
1656431290	2.0	2.0	12.0	12.0
1656431291	2.0	2.0	12.0	12.0
1656431292	2.0	2.0	12.0	12.0
1656431293	2.0	2.0	12.0	12.0
1656431294	2.0	2.0	12.0	12.0
1656431295	2.0	2.0	12.0	12.0
1656431296	2.0	2.0	12.0	14.0
1656431297	2.0	2.0	12.0	14.0
1656431298	2.0	2.0	12.0	14.0
1656431299	2.0	2.0	12.0	14.0
1656431300	2.0	2.0	12.0	14.0
1656431301	2.0	3.0	12.0	14.0
1656431302	2.0	3.0	12.0	14.0
1656431303	2.0	3.0	12.0	14.0
1656431304	2.0	3.0	12.0	14.0
1656431305	2.0	3.0	12.0	14.0
1656431306	2.0	3.0	12.0	14.0
1656431307	2.0	3.0	12.0	14.0
1656431308	2.0	3.0	12.0	14.0
1656431309	2.0	3.0	12.0	14.0
1656431310	2.0	3.0	14.0	14.0
1656431311	2.0	3.0	14.0	14.0
1656431312	2.0	3.0	14.0	14.0
1656431313	2.0	3.0	14.0	14.0
1656431314	2.0	3.0	14.0	14.0
1656431315	2.0	3.0	14.0	14.0
1656431316	3.0	3.0	14.0	14.0
1656431317	3.0	3.0	14.0	14.0
1656431318	3.0	3.0	14.0	14.0
1656431319	3.0	3.0	14.0	14.0
1656431320	3.0	3.0	14.0	14.0
1656431321	3.0	3.0	14.0	14.0
1656431322	3.0	3.0	14.0	14.0
1656431323	3.0	3.0	14.0	14.0
1656431324	3.0	3.0	14.0	14.0
1656431325	3.0	3.0	14.0	14.0
1656431326	3.0	3.0	14.0	14.0
1656431327	3.0	3.0	14.0	14.0
1656431328	3.0	3.0	14.0	14.0
1656431329	3.0	3.0	14.0	14.0
1656431330	3.0	3.0	14.0	14.0
1656431331	3.0	3.0	14.0	14.0
1656431332	3.0	3.0	14.0	14.0
1656431333	3.0	3.0	14.0	14.0
1656431334	3.0	3.0	14.0	14.0
1656431335	3.0	3.0	14.0	14.0
1656431336	3.0	3.0	14.0	14.0
1656431337	3.0	3.0	14.0	14.0
1656431338	3.0	3.0	14.0	14.0
1656431339	3.0	3.0	14.0	14.0
1656431340	3.0	3.0	14.0	14.0
1656431341	3.0	3.0	14.0	14.0
1656431342	3.0	3.0	14.0	14.0
1656431344	3.0	3.0	14.0	14.0
1656431345	3.0	3.0	14.0	14.0
1656431346	3.0	3.0	14.0	14.0
1656431347	3.0	3.0	14.0	14.0
1656431348	3.0	3.0	14.0	14.0
1656431349	3.0	3.0	14.0	14.0
1656431350	3.0	3.0	14.0	14.0
1656431351	3.0	3.0	14.0	14.0
1656431353	3.0	3.0	14.0	14.0
1656431354	3.0	3.0	14.0	14.0
1656431355	3.0	3.0	14.0	14.0
1656431357	3.0	3.0	14.0	14.0
1656431358	3.0	3.0	14.0	14.0
1656431359	3.0	3.0	14.0	14.0
1656431360	3.0	3.0	14.0	14.0
1656431361	3.0	3.0	14.0	14.0
1656431362	3.0	3.0	14.0	14.0
1656431363	3.0	3.0	14.0	14.0
1656431364	3.0	3.0	14.0	14.0
1656431366	3.0	3.0	14.0	14.0
1656431367	3.0	3.0	14.0	14.0
1656431368	3.0	3.0	14.0	14.0
1656431369	3.0	3.0	14.0	14.0
1656431370	3.0	3.0	14.0	14.0
1656431371	3.0	3.0	14.0	14.0
1656431372	3.0	3.0	14.0	14.0
1656431374	3.0	3.0	14.0	14.0
1656431375	3.0	3.0	14.0	14.0
1656431376	3.0	3.0	14.0	14.0
1656431378	3.0	3.0	14.0	14.0
1656431379	3.0	3.0	14.0	14.0
1656431380	3.0	3.0	14.0	14.0
1656431382	3.0	3.0	14.0	14.0
1656431383	3.0	3.0	14.0	14.0
1656431384	3.0	3.0	14.0	14.0
1656431386	3.0	3.0	14.0	14.0
1656431387	3.0	3.0	14.0	14.0
1656431388	3.0	3.0	14.0	14.0
1656431390	3.0	3.0	14.0	14.0
1656431391	3.0	3.0	14.0	14.0
