seconds	current_frontend	desired_frontend	current_traefik	desired_traefik
1656431052	1.0	1.0	1.0	1.0
1656431053	1.0	1.0	1.0	1.0
1656431054	1.0	1.0	1.0	1.0
1656431055	1.0	1.0	1.0	1.0
1656431056	1.0	1.0	1.0	1.0
1656431057	1.0	1.0	1.0	1.0
1656431058	1.0	1.0	1.0	1.0
1656431059	1.0	1.0	1.0	1.0
1656431060	1.0	1.0	1.0	1.0
1656431061	1.0	1.0	1.0	1.0
1656431062	1.0	1.0	1.0	1.0
1656431063	1.0	1.0	1.0	1.0
1656431064	1.0	1.0	1.0	1.0
1656431065	1.0	1.0	1.0	1.0
1656431066	1.0	1.0	1.0	1.0
1656431067	1.0	1.0	1.0	1.0
1656431068	1.0	1.0	1.0	1.0
1656431069	1.0	1.0	1.0	1.0
1656431070	1.0	1.0	1.0	1.0
1656431071	1.0	1.0	1.0	1.0
1656431072	1.0	1.0	1.0	1.0
1656431073	1.0	1.0	1.0	1.0
1656431074	1.0	1.0	1.0	1.0
1656431075	1.0	1.0	1.0	1.0
1656431076	1.0	1.0	1.0	1.0
1656431077	1.0	1.0	1.0	1.0
1656431078	1.0	1.0	1.0	1.0
1656431079	1.0	1.0	1.0	1.0
1656431080	1.0	1.0	1.0	1.0
1656431081	1.0	1.0	1.0	1.0
1656431082	1.0	1.0	1.0	1.0
1656431083	1.0	1.0	1.0	1.0
1656431084	1.0	1.0	1.0	1.0
1656431085	1.0	1.0	1.0	2.0
1656431086	1.0	1.0	1.0	2.0
1656431087	1.0	1.0	1.0	2.0
1656431088	1.0	1.0	1.0	2.0
1656431089	1.0	1.0	1.0	2.0
1656431090	1.0	1.0	1.0	2.0
1656431091	1.0	1.0	1.0	2.0
1656431092	1.0	1.0	1.0	2.0
1656431093	1.0	1.0	1.0	2.0
1656431094	1.0	1.0	1.0	2.0
1656431095	1.0	1.0	1.0	2.0
1656431096	1.0	1.0	1.0	2.0
1656431097	1.0	1.0	1.0	2.0
1656431098	1.0	1.0	1.0	2.0
1656431099	1.0	1.0	1.0	2.0
1656431100	1.0	1.0	2.0	2.0
1656431101	1.0	1.0	2.0	2.0
1656431102	1.0	1.0	2.0	2.0
1656431103	1.0	1.0	2.0	2.0
1656431104	1.0	1.0	2.0	2.0
1656431105	1.0	1.0	2.0	2.0
1656431106	1.0	1.0	2.0	2.0
1656431107	1.0	1.0	2.0	2.0
1656431108	1.0	1.0	2.0	2.0
1656431109	1.0	1.0	2.0	2.0
1656431110	1.0	1.0	2.0	2.0
1656431111	1.0	1.0	2.0	2.0
1656431112	1.0	1.0	2.0	2.0
1656431113	1.0	1.0	2.0	2.0
1656431114	1.0	1.0	2.0	2.0
1656431115	1.0	1.0	2.0	3.0
1656431116	1.0	1.0	2.0	3.0
1656431117	1.0	1.0	2.0	3.0
1656431118	1.0	1.0	2.0	3.0
1656431119	1.0	1.0	2.0	3.0
1656431120	1.0	1.0	2.0	3.0
1656431121	1.0	1.0	2.0	3.0
1656431122	1.0	1.0	2.0	3.0
1656431123	1.0	1.0	2.0	3.0
1656431124	1.0	1.0	2.0	3.0
1656431125	1.0	1.0	2.0	3.0
1656431126	1.0	1.0	2.0	3.0
1656431127	1.0	1.0	2.0	3.0
1656431128	1.0	1.0	2.0	3.0
1656431129	1.0	1.0	3.0	3.0
1656431130	1.0	1.0	3.0	3.0
1656431131	1.0	1.0	3.0	3.0
1656431132	1.0	1.0	3.0	3.0
1656431133	1.0	1.0	3.0	3.0
1656431134	1.0	1.0	3.0	3.0
1656431135	1.0	1.0	3.0	3.0
1656431136	1.0	1.0	3.0	3.0
1656431137	1.0	1.0	3.0	3.0
1656431138	1.0	1.0	3.0	3.0
1656431139	1.0	1.0	3.0	3.0
1656431140	1.0	1.0	3.0	3.0
1656431141	1.0	1.0	3.0	3.0
1656431142	1.0	1.0	3.0	3.0
1656431143	1.0	1.0	3.0	3.0
1656431144	1.0	1.0	3.0	3.0
1656431145	1.0	1.0	3.0	3.0
1656431146	1.0	1.0	3.0	3.0
1656431147	1.0	1.0	3.0	3.0
1656431148	1.0	1.0	3.0	3.0
1656431149	1.0	1.0	3.0	3.0
1656431150	1.0	1.0	3.0	3.0
1656431151	1.0	1.0	3.0	3.0
1656431152	1.0	1.0	3.0	3.0
1656431153	1.0	1.0	3.0	3.0
1656431154	1.0	1.0	3.0	3.0
1656431155	1.0	1.0	3.0	3.0
1656431156	1.0	1.0	3.0	3.0
1656431157	1.0	1.0	3.0	3.0
1656431158	1.0	1.0	3.0	3.0
1656431159	1.0	1.0	3.0	3.0
1656431160	1.0	1.0	3.0	3.0
1656431161	1.0	1.0	3.0	3.0
1656431162	1.0	1.0	3.0	3.0
1656431163	1.0	1.0	3.0	3.0
1656431164	1.0	1.0	3.0	3.0
1656431165	1.0	1.0	3.0	3.0
1656431166	1.0	1.0	3.0	3.0
1656431167	1.0	1.0	3.0	3.0
1656431168	1.0	1.0	3.0	3.0
1656431169	1.0	1.0	3.0	3.0
1656431170	1.0	1.0	3.0	3.0
1656431171	1.0	1.0	3.0	3.0
1656431172	1.0	1.0	3.0	3.0
1656431173	1.0	1.0	3.0	3.0
1656431174	1.0	1.0	3.0	3.0
1656431175	1.0	1.0	3.0	5.0
1656431176	1.0	1.0	3.0	5.0
1656431177	1.0	1.0	3.0	5.0
1656431178	1.0	1.0	3.0	5.0
1656431179	1.0	1.0	3.0	5.0
1656431180	1.0	1.0	3.0	5.0
1656431181	1.0	1.0	3.0	5.0
1656431182	1.0	1.0	3.0	5.0
1656431183	1.0	1.0	3.0	5.0
1656431184	1.0	1.0	3.0	5.0
1656431185	1.0	1.0	3.0	5.0
1656431186	1.0	1.0	3.0	5.0
1656431187	1.0	1.0	3.0	5.0
1656431188	1.0	1.0	3.0	5.0
1656431189	1.0	1.0	3.0	5.0
1656431190	1.0	1.0	5.0	5.0
1656431191	1.0	1.0	5.0	5.0
1656431192	1.0	1.0	5.0	5.0
1656431193	1.0	1.0	5.0	5.0
1656431194	1.0	1.0	5.0	5.0
1656431195	1.0	1.0	5.0	5.0
1656431196	1.0	1.0	5.0	5.0
1656431197	1.0	1.0	5.0	5.0
1656431198	1.0	1.0	5.0	5.0
1656431199	1.0	1.0	5.0	5.0
1656431200	1.0	1.0	5.0	5.0
1656431201	1.0	1.0	5.0	5.0
1656431202	1.0	1.0	5.0	5.0
1656431203	1.0	1.0	5.0	5.0
1656431204	1.0	1.0	5.0	5.0
1656431205	1.0	1.0	5.0	8.0
1656431206	1.0	1.0	5.0	8.0
1656431207	1.0	1.0	5.0	8.0
1656431208	1.0	1.0	5.0	8.0
1656431209	1.0	1.0	5.0	8.0
1656431210	1.0	1.0	5.0	8.0
1656431211	1.0	2.0	5.0	8.0
1656431212	1.0	2.0	5.0	8.0
1656431213	1.0	2.0	5.0	8.0
1656431214	1.0	2.0	5.0	8.0
1656431215	1.0	2.0	5.0	8.0
1656431216	1.0	2.0	5.0	8.0
1656431217	1.0	2.0	5.0	8.0
1656431218	1.0	2.0	5.0	8.0
1656431219	1.0	2.0	5.0	8.0
1656431220	1.0	2.0	5.0	8.0
1656431221	1.0	2.0	8.0	8.0
1656431222	1.0	2.0	8.0	8.0
1656431223	1.0	2.0	8.0	8.0
1656431224	1.0	2.0	8.0	8.0
1656431225	2.0	2.0	8.0	8.0
1656431226	2.0	2.0	8.0	8.0
1656431227	2.0	2.0	8.0	8.0
1656431228	2.0	2.0	8.0	8.0
1656431229	2.0	2.0	8.0	8.0
