seconds	current_frontend	desired_frontend	current_traefik	desired_traefik
1656354426	1.0	1.0	1.0	1.0
1656354428	1.0	1.0	1.0	1.0
1656354429	1.0	1.0	1.0	1.0
1656354430	1.0	1.0	1.0	1.0
1656354431	1.0	1.0	1.0	1.0
1656354432	1.0	1.0	1.0	1.0
1656354433	1.0	1.0	1.0	1.0
1656354434	1.0	1.0	1.0	1.0
1656354435	1.0	1.0	1.0	1.0
1656354436	1.0	1.0	1.0	1.0
1656354437	1.0	1.0	1.0	1.0
1656354438	1.0	1.0	1.0	1.0
1656354439	1.0	1.0	1.0	1.0
1656354440	1.0	1.0	1.0	1.0
1656354441	1.0	1.0	1.0	1.0
1656354442	1.0	1.0	1.0	1.0
1656354443	1.0	1.0	1.0	1.0
1656354444	1.0	1.0	1.0	1.0
1656354445	1.0	1.0	1.0	1.0
1656354446	1.0	1.0	1.0	1.0
1656354447	1.0	1.0	1.0	1.0
1656354448	1.0	1.0	1.0	1.0
1656354449	1.0	1.0	1.0	1.0
1656354450	1.0	1.0	1.0	1.0
1656354451	1.0	1.0	1.0	1.0
1656354452	1.0	1.0	1.0	1.0
1656354453	1.0	1.0	1.0	1.0
1656354454	1.0	1.0	1.0	1.0
1656354455	1.0	1.0	1.0	1.0
1656354456	1.0	1.0	1.0	1.0
1656354457	1.0	1.0	1.0	1.0
1656354458	1.0	1.0	1.0	1.0
1656354459	1.0	1.0	1.0	1.0
1656354460	1.0	1.0	1.0	1.0
1656354461	1.0	1.0	1.0	1.0
1656354462	1.0	1.0	1.0	1.0
1656354463	1.0	1.0	1.0	1.0
1656354464	1.0	1.0	1.0	1.0
1656354465	1.0	1.0	1.0	1.0
1656354466	1.0	1.0	1.0	1.0
1656354467	1.0	1.0	1.0	1.0
1656354468	1.0	1.0	1.0	1.0
1656354469	1.0	1.0	1.0	1.0
1656354470	1.0	1.0	1.0	1.0
1656354471	1.0	1.0	1.0	1.0
1656354472	1.0	1.0	1.0	1.0
1656354473	1.0	1.0	1.0	1.0
1656354474	1.0	1.0	1.0	1.0
1656354475	1.0	1.0	1.0	1.0
1656354476	1.0	1.0	1.0	1.0
1656354477	1.0	1.0	1.0	1.0
1656354478	1.0	1.0	1.0	1.0
1656354479	1.0	1.0	1.0	1.0
1656354480	1.0	1.0	1.0	1.0
1656354481	1.0	1.0	1.0	1.0
1656354482	1.0	1.0	1.0	1.0
1656354483	1.0	1.0	1.0	1.0
1656354484	1.0	1.0	1.0	1.0
1656354485	1.0	1.0	1.0	1.0
1656354486	1.0	1.0	1.0	1.0
1656354487	1.0	1.0	1.0	1.0
1656354488	1.0	1.0	1.0	1.0
1656354489	1.0	1.0	1.0	1.0
1656354490	1.0	1.0	1.0	1.0
1656354491	1.0	1.0	1.0	1.0
1656354492	1.0	1.0	1.0	1.0
1656354493	1.0	1.0	1.0	1.0
1656354494	1.0	1.0	1.0	1.0
