starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 28 18:10:36 2022	1656432636	210	283	493	283
Tue Jun 28 18:09:34 2022	1656432574	200	293	494	292
Tue Jun 28 18:09:14 2022	1656432554	193	300	494	299
Tue Jun 28 18:10:52 2022	1656432652	295	199	494	199
Tue Jun 28 18:10:54 2022	1656432654	190	304	495	301
Tue Jun 28 18:10:46 2022	1656432646	186	310	495	308
Tue Jun 28 18:10:53 2022	1656432653	202	294	495	290
Tue Jun 28 18:10:24 2022	1656432624	207	289	496	288
Tue Jun 28 18:10:20 2022	1656432620	194	302	496	302
Tue Jun 28 18:09:42 2022	1656432582	189	307	496	306
Tue Jun 28 18:10:22 2022	1656432622	392	104	496	104
Tue Jun 28 18:11:22 2022	1656432682	190	307	497	307
Tue Jun 28 18:10:14 2022	1656432614	390	107	497	107
Tue Jun 28 18:10:24 2022	1656432624	195	302	497	301
Tue Jun 28 18:09:45 2022	1656432585	311	186	497	186
Tue Jun 28 18:11:26 2022	1656432686	292	206	498	206
Tue Jun 28 18:07:49 2022	1656432469	394	105	499	103
Tue Jun 28 18:11:27 2022	1656432687	305	194	499	102
Tue Jun 28 18:08:06 2022	1656432486	307	192	499	191
Tue Jun 28 18:10:48 2022	1656432648	384	115	499	110
Tue Jun 28 18:10:48 2022	1656432648	385	115	499	109
Tue Jun 28 18:08:42 2022	1656432522	298	202	500	201
Tue Jun 28 18:09:39 2022	1656432579	301	199	500	199
Tue Jun 28 18:10:37 2022	1656432637	399	102	500	101
Tue Jun 28 18:10:22 2022	1656432622	392	109	501	108
Tue Jun 28 18:10:14 2022	1656432614	393	107	501	107
Tue Jun 28 18:07:56 2022	1656432476	286	215	501	213
Tue Jun 28 18:11:22 2022	1656432682	405	95	501	95
Tue Jun 28 18:09:14 2022	1656432554	316	185	501	184
Tue Jun 28 18:10:37 2022	1656432637	399	102	501	102
Tue Jun 28 18:07:49 2022	1656432469	386	116	501	115
Tue Jun 28 18:11:32 2022	1656432692	300	202	502	200
Tue Jun 28 18:10:04 2022	1656432604	292	210	502	210
Tue Jun 28 18:10:37 2022	1656432637	399	103	503	103
Tue Jun 28 18:09:46 2022	1656432586	217	287	503	286
Tue Jun 28 18:08:13 2022	1656432493	203	300	503	299
Tue Jun 28 18:10:23 2022	1656432623	194	309	504	304
Tue Jun 28 18:07:54 2022	1656432474	399	104	504	104
Tue Jun 28 18:10:24 2022	1656432624	217	287	504	287
Tue Jun 28 18:09:14 2022	1656432554	207	297	504	297
Tue Jun 28 18:10:24 2022	1656432624	216	288	505	288
Tue Jun 28 18:11:22 2022	1656432682	409	95	505	95
Tue Jun 28 18:09:52 2022	1656432592	295	210	505	209
Tue Jun 28 18:08:21 2022	1656432501	294	211	505	208
Tue Jun 28 18:07:49 2022	1656432469	394	111	505	109
Tue Jun 28 18:07:49 2022	1656432469	389	117	506	115
Tue Jun 28 18:07:49 2022	1656432469	385	121	506	120
Tue Jun 28 18:08:23 2022	1656432503	299	208	506	205
Tue Jun 28 18:07:49 2022	1656432469	388	118	506	117
Tue Jun 28 18:11:27 2022	1656432687	310	197	506	196
Tue Jun 28 18:09:14 2022	1656432554	195	312	507	311
Tue Jun 28 18:07:49 2022	1656432469	396	111	507	110
Tue Jun 28 18:08:23 2022	1656432503	295	212	507	208
Tue Jun 28 18:07:49 2022	1656432469	388	118	507	117
Tue Jun 28 18:11:27 2022	1656432687	303	204	507	204
Tue Jun 28 18:08:23 2022	1656432503	298	209	507	206
Tue Jun 28 18:10:24 2022	1656432624	310	197	507	197
