starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 28 19:21:29 2022	1656436889	63	20	83	20
Tue Jun 28 19:21:29 2022	1656436889	62	21	83	21
Tue Jun 28 19:23:26 2022	1656437006	63	21	83	21
Tue Jun 28 19:21:20 2022	1656436880	62	22	84	22
Tue Jun 28 19:21:28 2022	1656436888	63	21	84	21
Tue Jun 28 19:21:25 2022	1656436885	63	20	84	20
Tue Jun 28 19:21:29 2022	1656436889	64	20	84	20
Tue Jun 28 19:21:27 2022	1656436887	64	20	84	20
Tue Jun 28 19:21:29 2022	1656436889	64	21	84	21
Tue Jun 28 19:21:28 2022	1656436888	64	21	84	21
Tue Jun 28 19:21:28 2022	1656436888	64	20	84	20
Tue Jun 28 19:23:28 2022	1656437008	64	21	85	21
Tue Jun 28 19:21:12 2022	1656436872	63	22	85	22
Tue Jun 28 19:21:26 2022	1656436886	64	21	85	21
Tue Jun 28 19:23:28 2022	1656437008	64	21	85	21
Tue Jun 28 19:21:25 2022	1656436885	64	21	85	21
Tue Jun 28 19:23:27 2022	1656437007	64	21	85	21
Tue Jun 28 19:23:28 2022	1656437008	65	20	85	20
Tue Jun 28 19:21:26 2022	1656436886	64	21	85	21
Tue Jun 28 19:23:26 2022	1656437006	64	21	85	21
Tue Jun 28 19:23:28 2022	1656437008	64	21	85	21
Tue Jun 28 19:21:20 2022	1656436880	62	23	85	23
Tue Jun 28 19:23:27 2022	1656437007	65	21	85	21
Tue Jun 28 19:23:29 2022	1656437009	65	21	85	20
Tue Jun 28 19:23:26 2022	1656437006	65	21	85	21
Tue Jun 28 19:21:26 2022	1656436886	65	21	86	21
Tue Jun 28 19:23:27 2022	1656437007	64	22	86	22
Tue Jun 28 19:21:28 2022	1656436888	65	21	86	21
Tue Jun 28 19:23:26 2022	1656437006	65	21	86	21
Tue Jun 28 19:21:29 2022	1656436889	65	21	86	21
Tue Jun 28 19:23:29 2022	1656437009	65	21	86	21
Tue Jun 28 19:21:29 2022	1656436889	63	23	86	23
Tue Jun 28 19:21:28 2022	1656436888	65	21	86	20
Tue Jun 28 19:21:57 2022	1656436917	63	23	86	23
Tue Jun 28 19:23:27 2022	1656437007	65	21	86	21
Tue Jun 28 19:23:26 2022	1656437006	65	21	86	21
Tue Jun 28 19:23:27 2022	1656437007	65	21	86	21
Tue Jun 28 19:21:26 2022	1656436886	62	24	86	23
Tue Jun 28 19:21:29 2022	1656436889	63	23	86	23
Tue Jun 28 19:22:55 2022	1656436975	63	23	86	23
Tue Jun 28 19:21:27 2022	1656436887	66	20	86	20
Tue Jun 28 19:23:28 2022	1656437008	64	22	86	22
Tue Jun 28 19:23:10 2022	1656436990	63	23	86	23
Tue Jun 28 19:21:26 2022	1656436886	64	22	86	22
Tue Jun 28 19:22:20 2022	1656436940	63	23	86	23
Tue Jun 28 19:21:51 2022	1656436911	64	23	86	23
Tue Jun 28 19:21:47 2022	1656436907	63	23	86	23
Tue Jun 28 19:22:45 2022	1656436965	63	23	86	23
Tue Jun 28 19:23:27 2022	1656437007	65	21	86	21
Tue Jun 28 19:21:27 2022	1656436887	65	21	86	21
Tue Jun 28 19:20:50 2022	1656436850	63	23	86	23
Tue Jun 28 19:22:11 2022	1656436931	63	23	86	23
Tue Jun 28 19:23:10 2022	1656436990	63	24	86	23
Tue Jun 28 19:23:29 2022	1656437009	65	21	86	21
Tue Jun 28 19:21:27 2022	1656436887	65	21	86	21
Tue Jun 28 19:21:56 2022	1656436916	63	24	86	24
Tue Jun 28 19:22:02 2022	1656436922	63	23	86	23
Tue Jun 28 19:21:47 2022	1656436907	63	23	86	23
Tue Jun 28 19:21:29 2022	1656436889	66	21	86	21
Tue Jun 28 19:21:27 2022	1656436887	65	21	86	21
Tue Jun 28 19:23:27 2022	1656437007	66	21	86	21
Tue Jun 28 19:23:28 2022	1656437008	66	21	86	21
Tue Jun 28 19:21:16 2022	1656436876	64	23	86	23
Tue Jun 28 19:22:40 2022	1656436960	63	24	86	24
Tue Jun 28 19:21:28 2022	1656436888	66	21	86	21
Tue Jun 28 19:21:16 2022	1656436876	63	23	86	23
Tue Jun 28 19:22:32 2022	1656436952	63	23	86	23
Tue Jun 28 19:23:27 2022	1656437007	65	22	87	22
Tue Jun 28 19:23:34 2022	1656437014	64	23	87	23
Tue Jun 28 19:21:22 2022	1656436882	63	24	87	23
Tue Jun 28 19:23:32 2022	1656437012	64	23	87	22
Tue Jun 28 19:23:25 2022	1656437005	66	21	87	21
Tue Jun 28 19:21:47 2022	1656436907	63	23	87	23
Tue Jun 28 19:21:11 2022	1656436871	63	23	87	23
Tue Jun 28 19:21:59 2022	1656436919	63	24	87	24
Tue Jun 28 19:22:40 2022	1656436960	63	24	87	24
Tue Jun 28 19:21:53 2022	1656436913	64	23	87	23
Tue Jun 28 19:23:28 2022	1656437008	66	21	87	21
Tue Jun 28 19:22:42 2022	1656436962	63	24	87	24
Tue Jun 28 19:23:27 2022	1656437007	65	22	87	22
Tue Jun 28 19:23:28 2022	1656437008	66	21	87	21
Tue Jun 28 19:23:28 2022	1656437008	65	21	87	21
Tue Jun 28 19:22:52 2022	1656436972	64	23	87	23
Tue Jun 28 19:23:26 2022	1656437006	66	21	87	21
Tue Jun 28 19:22:58 2022	1656436978	64	23	87	23
Tue Jun 28 19:22:10 2022	1656436930	63	24	87	23
Tue Jun 28 19:21:29 2022	1656436889	66	21	87	21
Tue Jun 28 19:22:28 2022	1656436948	63	23	87	23
Tue Jun 28 19:21:29 2022	1656436889	66	21	87	21
Tue Jun 28 19:23:29 2022	1656437009	66	21	87	21
Tue Jun 28 19:21:27 2022	1656436887	66	20	87	20
Tue Jun 28 19:23:31 2022	1656437011	63	23	87	23
Tue Jun 28 19:23:14 2022	1656436994	64	23	87	23
Tue Jun 28 19:22:56 2022	1656436976	63	24	87	24
Tue Jun 28 19:23:10 2022	1656436990	63	23	87	23
Tue Jun 28 19:21:57 2022	1656436917	63	23	87	23
Tue Jun 28 19:22:26 2022	1656436946	64	23	87	23
Tue Jun 28 19:22:21 2022	1656436941	63	23	87	23
Tue Jun 28 19:22:29 2022	1656436949	63	24	87	24
Tue Jun 28 19:23:18 2022	1656436998	63	24	87	24
Tue Jun 28 19:22:25 2022	1656436945	63	23	87	23
Tue Jun 28 19:22:21 2022	1656436941	63	24	87	24
Tue Jun 28 19:23:25 2022	1656437005	64	23	87	22
Tue Jun 28 19:22:44 2022	1656436964	63	23	87	23
Tue Jun 28 19:21:31 2022	1656436891	64	23	87	23
Tue Jun 28 19:22:58 2022	1656436978	63	23	87	23
Tue Jun 28 19:22:28 2022	1656436948	64	23	87	23
Tue Jun 28 19:21:51 2022	1656436911	63	23	87	23
Tue Jun 28 19:22:47 2022	1656436967	63	24	87	24
Tue Jun 28 19:22:43 2022	1656436963	63	24	87	24
Tue Jun 28 19:23:31 2022	1656437011	64	23	87	23
Tue Jun 28 19:22:29 2022	1656436949	64	23	87	23
Tue Jun 28 19:22:52 2022	1656436972	64	23	87	23
Tue Jun 28 19:21:47 2022	1656436907	63	23	87	23
Tue Jun 28 19:21:20 2022	1656436880	64	23	87	23
Tue Jun 28 19:22:52 2022	1656436972	63	24	87	23
Tue Jun 28 19:23:18 2022	1656436998	63	24	87	24
Tue Jun 28 19:21:27 2022	1656436887	65	22	87	22
Tue Jun 28 19:21:29 2022	1656436889	63	24	87	24
Tue Jun 28 19:22:29 2022	1656436949	63	24	87	24
Tue Jun 28 19:23:25 2022	1656437005	66	21	87	21
Tue Jun 28 19:22:40 2022	1656436960	63	24	87	24
Tue Jun 28 19:22:42 2022	1656436962	63	24	87	23
Tue Jun 28 19:22:29 2022	1656436949	64	23	87	23
Tue Jun 28 19:23:42 2022	1656437022	64	23	87	23
